"ID","clay","SOC","pH","Cd_solu","lea","soc_level","clay_level"
"QY003",19.06604815,2.572321472,6.70404,0.0322397650460274,0.473924546176603,"High (>2.5%)","Loamy (18-35%)"
"QY003",18.79340997,2.550000043,6.700344,0.0336067186922544,0.497379436645365,"High (>2.5%)","Loamy (18-35%)"
"QY003",18.52077179,2.531678615,6.698848,0.0348378864970247,0.533019663404478,"High (>2.5%)","Loamy (18-35%)"
"QY003",18.24813361,2.520428614,6.691104,0.0363674643725481,0.436409572470578,"High (>2.5%)","Loamy (18-35%)"
"QY003",17.97549542,2.503107185,6.688024,0.0378417826296234,0.454101391555481,"High (>2.5%)","Sandy (<18%)"
"QY003",17.70285724,2.4886429,6.69128,0.0389220446438324,0.572154056264336,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",17.43021906,2.475250042,6.688024,0.0403885908629746,0.597751144772024,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",17.15758088,2.463107185,6.688112,0.041631291219934,0.63695875566499,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",16.8849427,2.451178613,6.68116,0.0433239669874374,0.519887603849248,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",16.61230452,2.438714327,6.694976,0.0437743951764411,0.853600705940602,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",16.33966634,2.425928613,6.673592,0.0466619798435313,0.415291620607429,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",16.06702816,2.42507147,6.683888,0.0471387408626798,0.692939490681393,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",15.79438998,2.429285756,6.691544,0.047703917289347,0.94453756232907,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",15.5217518,2.430785756,6.687496,0.0492669569490822,0.655250527422793,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",15.24911362,2.433392899,6.677904,0.0513452631414129,0.513452631414129,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",14.97647544,2.45282147,6.680632,0.0521010869528891,0.734625326035737,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",14.70383725,2.474964328,6.676848,0.0533181757558015,0.607827203616137,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",14.43119907,2.472785756,6.694624,0.05352300468061,1.11863079782475,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",14.15856089,2.469357185,6.656608,0.0584698690528118,0.496993886948901,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",13.88592271,2.469821471,6.677552,0.0583009088223357,0.763741905572597,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",13.61328453,2.473250042,6.667344,0.0608607383962991,0.797275672991518,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",13.34064635,2.477928614,6.679488,0.0614070369364297,0.951809072514661,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",13.06800817,2.483571471,6.671304,0.0638907153018703,0.75391044056207,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",12.79536999,2.484500042,6.664616,0.0665047387083891,0.738202599663119,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",12.52273181,2.480785757,6.656168,0.0693207517651694,0.658547141769109,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",12.25009363,2.486571471,6.651592,0.0714823891197503,0.650489740989728,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",11.97745545,2.492607185,6.615864,0.077270752009661,0.463624512057966,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY003",11.70481727,2.500178614,6.64024,0.0760734577658486,0.745519886105316,"High (>2.5%)","Sandy (<18%)"
"QY003",11.43217908,2.5073929,6.593512,0.0833712214647631,0.358496252298481,"High (>2.5%)","Sandy (<18%)"
"QY003",11.1595409,2.501607185,6.654672,0.0780169769672361,0.904996932819938,"High (>2.5%)","Sandy (<18%)"
"QY003",10.88690272,2.507035757,6.639272,0.0814231896047792,0.757235663324446,"High (>2.5%)","Sandy (<18%)"
"QY003",10.61426454,2.513250043,6.650096,0.0814797894434297,1.01034938909853,"High (>2.5%)","Sandy (<18%)"
"QY003",10.34162636,2.516071471,6.639448,0.0843173322237641,0.801014656125759,"High (>2.5%)","Sandy (<18%)"
"QY003",10.06898818,2.516250043,6.636896,0.0862247430197087,0.801890110083291,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.540428615,6.633024,0.0871030007621835,0.79263730693587,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.5341429,6.632144,0.0887236947977732,0.807385622659736,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.535178615,6.631264,0.0893008100911744,0.812637371829687,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.536035757,6.630472,0.0898743762660345,0.817856824020914,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.536714329,6.629856,0.090432221842805,0.822933218769525,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.537250043,6.629328,0.0909845163590368,0.827959098867235,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.537714329,6.628888,0.0915277095184238,0.832902156617657,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.538107186,6.628448,0.0920739647964495,0.83787307964769,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.538464329,6.628184,0.0925968198171836,0.84263106033637,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.538785758,6.62792,0.0931208158386633,0.847399424131836,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.539071472,6.627744,0.0936334563400332,0.852064452694302,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.539321472,6.627568,0.0941471671527161,0.856739221089717,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.539571472,6.62748,0.0946475320321068,0.861292541492172,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.539785758,6.627304,0.0951616090976574,0.865970642788682,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.540035758,6.627216,0.0956604194159807,0.870509816685425,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.540214329,6.627128,0.096162048808155,0.875074644154211,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.540428615,6.62704,0.0966610847281684,0.879615871026333,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.5406429,6.62704,0.0971463411995074,0.884031704915517,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.540821472,6.626952,0.0976455934682917,0.888574900561454,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.541000043,6.626864,0.0981440763689882,0.893111094957793,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.541178615,6.626864,0.098628599862758,0.897520258751098,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.541357186,6.626776,0.099125496991623,0.902042022623769,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.541535758,6.626776,0.0996083057667143,0.9064355824771,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.541714329,6.626688,0.100103621664627,0.910942957148105,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.5418929,6.626688,0.100584720766293,0.91532095897327,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542035758,6.6266,0.101080362865142,0.919831302072796,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542214329,6.6266,0.101559762795083,0.924193841435257,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542357186,6.6266,0.102040209543146,0.928565906842631,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542500043,6.626512,0.102533509507669,0.93305493651979,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542678615,6.626512,0.103010349293274,0.937394178568793,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542821472,6.626424,0.103502107792331,0.941869180910216,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542964329,6.626424,0.103979217686027,0.946210880942843,"High (>2.5%)","Sandy (<18%)"
"QY024",18.10679836,1.98256,6.714336,0.0323884038183208,0.476109536129315,"Medium (1.5~2.5%)","Loamy (18-35%)"
"QY024",17.84787713,1.96776,6.713544,0.0331777814582069,0.491031165581462,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",17.5889559,1.96056,6.714512,0.0337073464834024,0.515722401196056,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",17.33003468,1.96128,6.710112,0.0343486811585556,0.412184173902667,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",17.07111345,1.95536,6.708968,0.034990578882358,0.419886946588296,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",16.81219222,1.95292,6.711256,0.0353710023639379,0.519953734749887,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",16.553271,1.95168,6.70844,0.0359973619193063,0.532760956405733,"Medium (1.5~2.5%)","Sandy (<18%)"
