"scenario","soil_type","source","amount","flux","x"
"BAU","Calcareous","dep",5.32460255777778,"Input",2
"BAU","Non-calcareous","dep",5.05375640535294,"Input",2
"BNP","Calcareous","dep",5.32460255777778,"Input",3
"BNP","Non-calcareous","dep",5.05375640535294,"Input",3
"BNPL","Calcareous","dep",5.32460255777778,"Input",5
"BNPL","Non-calcareous","dep",5.05375640535294,"Input",5
"BNPR","Calcareous","dep",5.32460255777778,"Input",4
"BNPR","Non-calcareous","dep",5.05375640535294,"Input",4
"BNPRLopt","Calcareous","dep",3.00755902983333,"Input",6
"BNPRLopt","Non-calcareous","dep",2.76693866029412,"Input",6
"Past","Calcareous","dep",10.3560221963786,"Input",1
"Past","Non-calcareous","dep",9.89655104495126,"Input",1
"BAU","Calcareous","irr",1.29739473708333,"Input",2
"BAU","Non-calcareous","irr",1.27483969747059,"Input",2
"BNP","Calcareous","irr",1.29739473708333,"Input",3
"BNP","Non-calcareous","irr",1.27483969747059,"Input",3
"BNPL","Calcareous","irr",1.29739473708333,"Input",5
"BNPL","Non-calcareous","irr",1.27483969747059,"Input",5
"BNPR","Calcareous","irr",1.29739473708333,"Input",4
"BNPR","Non-calcareous","irr",1.27483969747059,"Input",4
"BNPRLopt","Calcareous","irr",1.29739473708333,"Input",6
"BNPRLopt","Non-calcareous","irr",1.27483969747059,"Input",6
"Past","Calcareous","irr",1.29739473708333,"Input",1
"Past","Non-calcareous","irr",1.27483969747059,"Input",1
"BAU","Calcareous","fer",1.17043598075,"Input",2
"BAU","Non-calcareous","fer",0.884615987705882,"Input",2
"BNP","Calcareous","fer",0.406380544472222,"Input",3
"BNP","Non-calcareous","fer",0.440092277647059,"Input",3
"BNPL","Calcareous","fer",0.406380544472222,"Input",5
"BNPL","Non-calcareous","fer",0.440092277647059,"Input",5
"BNPR","Calcareous","fer",0.255061090527778,"Input",4
"BNPR","Non-calcareous","fer",0.275011773235294,"Input",4
"BNPRLopt","Calcareous","fer",0.255061090527778,"Input",6
"BNPRLopt","Non-calcareous","fer",0.275011773235294,"Input",6
"Past","Calcareous","fer",0.689719527430159,"Input",1
"Past","Non-calcareous","fer",0.52891164805042,"Input",1
"BAU","Calcareous","man",0.680469826083333,"Input",2
"BAU","Non-calcareous","man",0.360957417470588,"Input",2
"BNP","Calcareous","man",0.253407022583333,"Input",3
"BNP","Non-calcareous","man",0.335088234411765,"Input",3
"BNPL","Calcareous","man",0.253407022583333,"Input",5
"BNPL","Non-calcareous","man",0.335088234411765,"Input",5
"BNPR","Calcareous","man",1.93729257813889,"Input",4
"BNPR","Non-calcareous","man",1.75051176382353,"Input",4
"BNPRLopt","Calcareous","man",0.452157474138889,"Input",6
"BNPRLopt","Non-calcareous","man",0.243022403058824,"Input",6
"Past","Calcareous","man",2.90789254361667,"Input",1
"Past","Non-calcareous","man",1.54250099364034,"Input",1
"BAU","Calcareous","crop",1.33562152666994,"Output",2
"BAU","Non-calcareous","crop",4.19461170467973,"Output",2
"BNP","Calcareous","crop",1.17207247104353,"Output",3
"BNP","Non-calcareous","crop",3.96593281037673,"Output",3
"BNPL","Calcareous","crop",1.17207247104353,"Output",5
"BNPL","Non-calcareous","crop",2.42037414424654,"Output",5
"BNPR","Calcareous","crop",0.792347208234683,"Output",4
"BNPR","Non-calcareous","crop",2.31752398782065,"Output",4
"BNPRLopt","Calcareous","crop",0.747653147131162,"Output",6
"BNPRLopt","Non-calcareous","crop",1.39891719234713,"Output",6
"Past","Calcareous","crop",1.11196401605076,"Output",1
"Past","Non-calcareous","crop",3.56692741896428,"Output",1
"BAU","Calcareous","lea",0.739424888521635,"Output",2
"BAU","Non-calcareous","lea",7.37892521019114,"Output",2
"BNP","Calcareous","lea",0.630035100328161,"Output",3
"BNP","Non-calcareous","lea",6.00645666429826,"Output",3
"BNPL","Calcareous","lea",0.630035100328161,"Output",5
"BNPL","Non-calcareous","lea",2.10666706541628,"Output",5
"BNPR","Calcareous","lea",0.616277921077184,"Output",4
"BNPR","Non-calcareous","lea",4.92967183806839,"Output",4
"BNPRLopt","Calcareous","lea",0.576843789685244,"Output",6
"BNPRLopt","Non-calcareous","lea",1.62578125316411,"Output",6
"Past","Calcareous","lea",0.554033034679147,"Output",1
"Past","Non-calcareous","lea",3.47386160665321,"Output",1
"BAU","Calcareous","acc",6.39785668650287,"Output",2
"BAU","Non-calcareous","acc",-3.99936740687087,"Output",2
"BNP","Calcareous","acc",5.47967729054498,"Output",3
"BNP","Non-calcareous","acc",-2.86861285979264,"Output",3
"BNPL","Calcareous","acc",5.47967729054498,"Output",5
"BNPL","Non-calcareous","acc",2.57673540521953,"Output",5
"BNPR","Calcareous","acc",7.40572583421591,"Output",4
"BNPR","Non-calcareous","acc",1.10692381399332,"Output",4
"BNPRLopt","Calcareous","acc",3.68767539476693,"Output",6
"BNPRLopt","Non-calcareous","acc",1.53511408854759,"Output",6
"Past","Calcareous","acc",13.5850319537788,"Output",1
"Past","Non-calcareous","acc",6.20201435849511,"Output",1
