"ID","scenario","Cd_input_g_ha_yr","source"
"QY003","BAU",4.2648725230337,"manure"
"QY003","BNP",4.2648725230337,"manure"
"QY003","BNPR",4.2648725230337,"manure"
"QY003","BNPRLopt1",0,"manure"
"QY003","BNPRLopt2",3.40649936455815,"manure"
"QY024","BAU",0,"manure"
"QY024","BNP",0,"manure"
"QY024","BNPR",4.02876,"manure"
"QY024","BNPRLopt1",0,"manure"
"QY024","BNPRLopt2",4.02876,"manure"
"QY031","BAU",3.7347753732781,"manure"
"QY031","BNP",3.7347753732781,"manure"
"QY031","BNPR",3.7347753732781,"manure"
"QY031","BNPRLopt1",0,"manure"
"QY031","BNPRLopt2",2.68683504521209,"manure"
"QY040","BAU",0,"manure"
"QY040","BNP",0,"manure"
"QY040","BNPR",2.81542,"manure"
"QY040","BNPRLopt1",0,"manure"
"QY040","BNPRLopt2",1.68004132958084,"manure"
"QY049","BAU",0,"manure"
"QY049","BNP",0,"manure"
"QY049","BNPR",3.1217,"manure"
"QY049","BNPRLopt1",0,"manure"
"QY049","BNPRLopt2",3.1217,"manure"
"QY065","BAU",0,"manure"
"QY065","BNP",0,"manure"
"QY065","BNPR",3.7014,"manure"
"QY065","BNPRLopt1",0.486131393300273,"manure"
"QY065","BNPRLopt2",3.7014,"manure"
"QY070","BAU",7.58199559650435,"manure"
"QY070","BNP",1.45230769230769,"manure"
"QY070","BNPR",1.45230769230769,"manure"
"QY070","BNPRLopt1",0,"manure"
"QY070","BNPRLopt2",1.45230769230769,"manure"
"QY073","BAU",0,"manure"
"QY073","BNP",0,"manure"
"QY073","BNPR",0,"manure"
"QY073","BNPRLopt1",0,"manure"
"QY073","BNPRLopt2",0,"manure"
"QY076","BAU",0,"manure"
"QY076","BNP",0,"manure"
"QY076","BNPR",1.8259,"manure"
"QY076","BNPRLopt1",0,"manure"
"QY076","BNPRLopt2",1.8259,"manure"
"QY077","BAU",0,"manure"
"QY077","BNP",0,"manure"
"QY077","BNPR",0,"manure"
"QY077","BNPRLopt1",0,"manure"
"QY077","BNPRLopt2",0,"manure"
"QY079","BAU",0,"manure"
"QY079","BNP",0,"manure"
"QY079","BNPR",0,"manure"
"QY079","BNPRLopt1",0,"manure"
"QY079","BNPRLopt2",0,"manure"
"QY081","BAU",4.2648725230337,"manure"
"QY081","BNP",0,"manure"
"QY081","BNPR",0,"manure"
"QY081","BNPRLopt1",0,"manure"
"QY081","BNPRLopt2",0,"manure"
"QY085","BAU",0,"manure"
"QY085","BNP",0,"manure"
"QY085","BNPR",1.488,"manure"
"QY085","BNPRLopt1",0,"manure"
"QY085","BNPRLopt2",1.488,"manure"
"QY087","BAU",1.89549889912609,"manure"
"QY087","BNP",1.89549889912609,"manure"
"QY087","BNPR",1.89549889912609,"manure"
"QY087","BNPRLopt1",0,"manure"
"QY087","BNPRLopt2",1.89549889912609,"manure"
"QY090","BAU",0,"manure"
"QY090","BNP",0,"manure"
"QY090","BNPR",1.4136,"manure"
"QY090","BNPRLopt1",0,"manure"
"QY090","BNPRLopt2",1.4136,"manure"
"QY094","BAU",0,"manure"
"QY094","BNP",0,"manure"
"QY094","BNPR",1.178,"manure"
"QY094","BNPRLopt1",0.478018506077825,"manure"
"QY094","BNPRLopt2",1.178,"manure"
"QY095","BAU",0.63852611220561,"manure"
"QY095","BNP",0.19875,"manure"
"QY095","BNPR",0.19875,"manure"
"QY095","BNPRLopt1",0,"manure"
"QY095","BNPRLopt2",0.19875,"manure"
"QY101","BAU",0,"manure"
"QY101","BNP",0,"manure"
"QY101","BNPR",0.744,"manure"
"QY101","BNPRLopt1",0,"manure"
"QY101","BNPRLopt2",0.744,"manure"
"QY106","BAU",0,"manure"
"QY106","BNP",0,"manure"
"QY106","BNPR",2.4149,"manure"
"QY106","BNPRLopt1",0,"manure"
"QY106","BNPRLopt2",1.63291674150869,"manure"
"QY107","BAU",0,"manure"
"QY107","BNP",0,"manure"
"QY107","BNPR",1.2896,"manure"
"QY107","BNPRLopt1",0,"manure"
"QY107","BNPRLopt2",0.738042030590872,"manure"
"QY110","BAU",0,"manure"
"QY110","BNP",0,"manure"
"QY110","BNPR",2.9636,"manure"
"QY110","BNPRLopt1",0,"manure"
"QY110","BNPRLopt2",2.76541586096426,"manure"
"QY154","BAU",0.63852611220561,"manure"
"QY154","BNP",0.63852611220561,"manure"
"QY154","BNPR",0.63852611220561,"manure"
"QY154","BNPRLopt1",0,"manure"
"QY154","BNPRLopt2",0.63852611220561,"manure"
"QY163","BAU",0,"manure"
"QY163","BNP",0,"manure"
"QY163","BNPR",5.2824,"manure"
"QY163","BNPRLopt1",0,"manure"
"QY163","BNPRLopt2",3.67029170765621,"manure"
"QY165","BAU",0,"manure"
"QY165","BNP",0,"manure"
"QY165","BNPR",3.91685,"manure"
"QY165","BNPRLopt1",0,"manure"
"QY165","BNPRLopt2",2.23772826217696,"manure"
"QY175","BAU",0,"manure"
"QY175","BNP",0,"manure"
"QY175","BNPR",1.8848,"manure"
"QY175","BNPRLopt1",0,"manure"
"QY175","BNPRLopt2",1.8848,"manure"
"QY182","BAU",0,"manure"
"QY182","BNP",0,"manure"
"QY182","BNPR",1.22512,"manure"
"QY182","BNPRLopt1",0,"manure"
"QY182","BNPRLopt2",1.20446622490772,"manure"
"QY189","BAU",0,"manure"
"QY189","BNP",0,"manure"
"QY189","BNPR",2.81542,"manure"
"QY189","BNPRLopt1",2.81542,"manure"
"QY189","BNPRLopt2",2.81542,"manure"
"QY193","BAU",0,"manure"
"QY193","BNP",0,"manure"
"QY193","BNPR",2.4738,"manure"
"QY193","BNPRLopt1",0.050352175816113,"manure"
"QY193","BNPRLopt2",2.4738,"manure"
"QY199","BAU",0,"manure"
"QY199","BNP",0,"manure"
"QY199","BNPR",2.81542,"manure"
"QY199","BNPRLopt1",0,"manure"
"QY199","BNPRLopt2",1.32607223453594,"manure"
"QY200","BAU",0,"manure"
"QY200","BNP",0,"manure"
"QY200","BNPR",1.61386,"manure"
"QY200","BNPRLopt1",0,"manure"
"QY200","BNPRLopt2",1.10944514029429,"manure"
"QY207","BAU",0.562224249740789,"manure"
"QY207","BNP",0.562224249740789,"manure"
"QY207","BNPR",0.562224249740789,"manure"
"QY207","BNPRLopt1",0.478793025953303,"manure"
"QY207","BNPRLopt2",0.562224249740789,"manure"
"QY208","BAU",4.97970049770413,"manure"
"QY208","BNP",0,"manure"
"QY208","BNPR",0,"manure"
"QY208","BNPRLopt1",0,"manure"
"QY208","BNPRLopt2",0,"manure"
"QY222","BAU",0.562224249740789,"manure"
"QY222","BNP",0.562224249740789,"manure"
"QY222","BNPR",0.562224249740789,"manure"
"QY222","BNPRLopt1",0.447414094024633,"manure"
"QY222","BNPRLopt2",0.562224249740789,"manure"
"QY231","BAU",0,"manure"
"QY231","BNP",0,"manure"
"QY231","BNPR",3.36908,"manure"
"QY231","BNPRLopt1",1.57321829842324,"manure"
"QY231","BNPRLopt2",3.36908,"manure"
"QY233","BAU",0,"manure"
"QY233","BNP",0,"manure"
"QY233","BNPR",0.73625,"manure"
"QY233","BNPRLopt1",0.73625,"manure"
"QY233","BNPRLopt2",0.73625,"manure"
"QY236","BAU",0,"manure"
"QY236","BNP",0,"manure"
"QY236","BNPR",0.2945,"manure"
"QY236","BNPRLopt1",0,"manure"
"QY236","BNPRLopt2",0.2945,"manure"
"QY246","BAU",0,"manure"
"QY246","BNP",0,"manure"
"QY246","BNPR",1.8848,"manure"
"QY246","BNPRLopt1",1.04712383526455,"manure"
"QY246","BNPRLopt2",1.8848,"manure"
"QY248","BAU",0,"manure"
"QY248","BNP",0,"manure"
"QY248","BNPR",3.51633,"manure"
"QY248","BNPRLopt1",3.34186948216003,"manure"
"QY248","BNPRLopt2",3.51633,"manure"
"QY264","BAU",0,"manure"
"QY264","BNP",0,"manure"
"QY264","BNPR",0.558,"manure"
"QY264","BNPRLopt1",0,"manure"
"QY264","BNPRLopt2",0.558,"manure"
"QY267","BAU",0,"manure"
"QY267","BNP",0,"manure"
"QY267","BNPR",3.1217,"manure"
"QY267","BNPRLopt1",0.785543047996439,"manure"
"QY267","BNPRLopt2",3.1217,"manure"
"QY270","BAU",0,"manure"
"QY270","BNP",0,"manure"
"QY270","BNPR",1.8848,"manure"
"QY270","BNPRLopt1",0,"manure"
"QY270","BNPRLopt2",1.8848,"manure"
"QY274","BAU",0,"manure"
"QY274","BNP",0,"manure"
"QY274","BNPR",0.61845,"manure"
"QY274","BNPRLopt1",0.61845,"manure"
"QY274","BNPRLopt2",0.61845,"manure"
"QY278","BAU",1.50997369930383,"manure"
"QY278","BNP",1.50997369930383,"manure"
"QY278","BNPR",1.50997369930383,"manure"
"QY278","BNPRLopt1",0.634661258325431,"manure"
"QY278","BNPRLopt2",1.50997369930383,"manure"
"QY284","BAU",0,"manure"
"QY284","BNP",0,"manure"
"QY284","BNPR",2.4149,"manure"
"QY284","BNPRLopt1",2.04579814256054,"manure"
"QY284","BNPRLopt2",2.4149,"manure"
"QY285","BAU",0,"manure"
"QY285","BNP",0,"manure"
"QY285","BNPR",2.4149,"manure"
"QY285","BNPRLopt1",0.85247142460853,"manure"
"QY285","BNPRLopt2",2.4149,"manure"
"QY291","BAU",0,"manure"
"QY291","BNP",0,"manure"
"QY291","BNPR",4.4392,"manure"
"QY291","BNPRLopt1",0,"manure"
"QY291","BNPRLopt2",2.21031024462731,"manure"
"QY293","BAU",0,"manure"
