ID,Year,value,Variable
QY003,2014,0.538772747,soilCd
QY003,2019,0.50974119,soilCd
QY024,2014,0.390193965,soilCd
QY024,2019,0.385844621,soilCd
QY031,2014,0.502389637,soilCd
QY031,2019,0.34505591,soilCd
QY040,2014,0.248702702,soilCd
QY040,2019,0.320258277,soilCd
QY049,2014,0.434543074,soilCd
QY049,2019,0.63439715,soilCd
QY065,2014,0.527742999,soilCd
QY065,2019,NA,soilCd
QY070,2014,0.283887888,soilCd
QY070,2019,0.427315125,soilCd
QY073,2014,0.666735134,soilCd
QY073,2019,NA,soilCd
QY076,2014,0.331504483,soilCd
QY076,2019,0.446904616,soilCd
QY077,2014,0.589869687,soilCd
QY077,2019,0.505465515,soilCd
QY079,2014,0.504414518,soilCd
QY079,2019,0.378753534,soilCd
QY081,2014,0.351167838,soilCd
QY081,2019,0.321603206,soilCd
QY085,2014,0.356771988,soilCd
QY085,2019,0.440418513,soilCd
QY087,2014,0.374759089,soilCd
QY087,2019,0.502264865,soilCd
QY090,2014,0.313654946,soilCd
QY090,2019,0.415728475,soilCd
QY094,2014,0.369540723,soilCd
QY094,2019,0.404292132,soilCd
QY095,2014,0.432245299,soilCd
QY095,2019,0.349386716,soilCd
QY101,2014,0.31604699,soilCd
QY101,2019,0.226964244,soilCd
QY106,2014,0.333054502,soilCd
QY106,2019,0.534490655,soilCd
QY107,2014,0.296001006,soilCd
QY107,2019,0.65021088,soilCd
QY110,2014,0.403705956,soilCd
QY110,2019,0.330450844,soilCd
QY154,2014,0.766803345,soilCd
QY154,2019,0.503907108,soilCd
QY163,2014,0.506870474,soilCd
QY163,2019,NA,soilCd
QY165,2014,0.676636965,soilCd
QY165,2019,NA,soilCd
QY175,2014,0.457637396,soilCd
QY175,2019,0.47895826,soilCd
QY182,2014,0.2091201,soilCd
QY182,2019,0.328045294,soilCd
QY189,2014,0.381387334,soilCd
QY189,2019,NA,soilCd
QY193,2014,0.533040644,soilCd
QY193,2019,0.5313913,soilCd
QY199,2014,0.312429395,soilCd
QY199,2019,0.324107086,soilCd
QY200,2014,0.486830202,soilCd
QY200,2019,0.398781545,soilCd
QY207,2014,0.27716801,soilCd
QY207,2019,0.494442731,soilCd
QY208,2014,0.454742975,soilCd
QY208,2019,0.451102684,soilCd
QY222,2014,0.376357168,soilCd
QY222,2019,0.268002133,soilCd
QY231,2014,0.385840805,soilCd
QY231,2019,0.368989901,soilCd
QY233,2014,0.355653722,soilCd
QY233,2019,0.48907421,soilCd
QY236,2014,0.250715241,soilCd
QY236,2019,0.343423441,soilCd
QY242,2014,0.159117541,soilCd
QY242,2019,0.349306386,soilCd
QY243,2014,0.228651365,soilCd
QY243,2019,0.502547476,soilCd
QY246,2014,0.813780858,soilCd
QY246,2019,0.660798657,soilCd
QY248,2014,0.242459912,soilCd
QY248,2019,0.309832443,soilCd
QY264,2014,0.563199681,soilCd
QY264,2019,NA,soilCd
QY267,2014,NA,soilCd
QY267,2019,0.528451455,soilCd
QY270,2014,0.832313107,soilCd
QY270,2019,0.818591335,soilCd
QY274,2014,0.240672535,soilCd
QY274,2019,0.462418026,soilCd
QY278,2014,NA,soilCd
QY278,2019,NA,soilCd
QY284,2014,0.19059143,soilCd
QY284,2019,0.408390807,soilCd
QY285,2014,0.599553878,soilCd
QY285,2019,0.570250177,soilCd
QY291,2014,0.578151149,soilCd
QY291,2019,0.502767917,soilCd
QY293,2014,0.282320962,soilCd
QY293,2019,0.483516975,soilCd
QY295,2014,0.247613339,soilCd
QY295,2019,0.378119355,soilCd
QY296,2014,0.471160242,soilCd
QY296,2019,0.36208142,soilCd
QY297,2014,0.26075182,soilCd
QY297,2019,0.369588731,soilCd
QY299,2014,0.204031011,soilCd
QY299,2019,NA,soilCd
QY308,2014,NA,soilCd
QY308,2019,0.361727532,soilCd
QY310,2014,NA,soilCd
QY310,2019,0.324888109,soilCd
QY313,2014,0.182707654,soilCd
QY313,2019,0.362895798,soilCd
QY003,2014,2.359382343,SOC
QY003,2014,7.95,pH
QY003,2019,2.242349849,SOC
QY003,2019,7.2,pH
QY024,2014,2.0241319,SOC
QY024,2014,7.82,pH
QY024,2019,1.724677083,SOC
QY024,2019,7.1,pH
QY031,2014,1.295971232,SOC
QY031,2014,5.65,pH
QY031,2019,1.724677083,SOC
QY031,2019,4.8,pH
QY040,2014,1.65593301,SOC
QY040,2014,5.66,pH
QY040,2019,1.146414097,SOC
QY040,2019,6.9,pH
QY049,2014,2.420336969,SOC
QY049,2014,8.02,pH
QY049,2019,3.038872321,SOC
QY049,2019,7.21,pH
QY065,2014,2.371738011,SOC
QY065,2014,6.99,pH
QY065,2019,2.667774733,SOC
QY065,2019,6.300817416,pH
QY070,2014,2.337965853,SOC
QY070,2014,7.73,pH
QY070,2019,2.628260254,SOC
QY070,2019,6.7,pH
QY073,2014,2.369266877,SOC
QY073,2014,6.01,pH
QY073,2019,2.66490307,SOC
QY073,2019,5.417441011,pH
QY076,2014,2.081791681,SOC
QY076,2014,6.84,pH
QY076,2019,1.690289717,SOC
QY076,2019,6.46,pH
QY077,2014,2.422808103,SOC
QY077,2014,6.36,pH
QY077,2019,1.979768331,SOC
QY077,2019,5.23,pH
QY079,2014,2.245710203,SOC
QY079,2014,6.66,pH
QY079,2019,1.446892203,SOC
QY079,2019,6.11,pH
QY081,2014,1.843739155,SOC
QY081,2014,5.95,pH
QY081,2019,1.916479695,SOC
QY081,2019,7.2,pH
QY085,2014,1.409643373,SOC
QY085,2014,5.64,pH
QY085,2019,1.399858694,SOC
QY085,2019,4.49,pH
QY087,2014,2.261360715,SOC
QY087,2014,5.43,pH
QY087,2019,1.949043112,SOC
QY087,2019,6.96,pH
QY090,2014,0.998611502,SOC
QY090,2014,5.82,pH
QY090,2019,1.891966762,SOC
QY090,2019,6.7,pH
QY094,2014,1.697118568,SOC
QY094,2014,7.59,pH
QY094,2019,1.279480186,SOC
QY094,2019,5.17,pH
QY095,2014,2.054609213,SOC
QY095,2014,6.3,pH
QY095,2019,1.274254454,SOC
QY095,2019,6.38,pH
QY101,2014,1.937642228,SOC
QY101,2014,6.06,pH
QY101,2019,0.635054519,SOC
QY101,2019,5.4,pH
QY106,2014,1.972238097,SOC
QY106,2014,5.78,pH
QY106,2019,2.034617994,SOC
QY106,2019,7.2,pH
QY107,2014,1.293500099,SOC
QY107,2014,5.74,pH
QY107,2019,1.241612127,SOC
QY107,2019,5.1,pH
QY110,2014,2.40633388,SOC
QY110,2014,6.84,pH
QY110,2019,1.108569876,SOC
QY110,2019,6.54,pH
QY154,2014,1.235016606,SOC
QY154,2014,5.45,pH
QY154,2019,1.469392957,SOC
QY154,2019,4.35,pH
QY163,2014,1.632045387,SOC
QY163,2014,5.46,pH
QY163,2019,1.808190337,SOC
QY163,2019,4.921668539,pH
QY165,2014,1.949174184,SOC
QY165,2014,7.09,pH
QY165,2019,2.176720395,SOC
QY165,2019,6.653939444,pH
QY175,2014,1.484601088,SOC
QY175,2014,6.59,pH
QY175,2019,1.990190888,SOC
QY175,2019,7.38,pH
QY182,2014,1.319858856,SOC
QY182,2014,7.92,pH
QY182,2019,1.393520856,SOC
QY182,2019,4.75,pH
QY189,2014,1.346217613,SOC
QY189,2014,7.33,pH
QY189,2019,1.476034674,SOC
QY189,2019,6.879178579,pH
QY193,2014,1.342922768,SOC
QY193,2014,7.85,pH
QY193,2019,2.732578407,SOC
QY193,2019,7.17,pH
QY199,2014,1.058742417,SOC
QY199,2014,7.08,pH
QY199,2019,1.350899409,SOC
QY199,2019,6.64455448,pH
QY200,2014,1.770428862,SOC
QY200,2014,7.68,pH
QY200,2019,1.45495658,SOC
QY200,2019,7.207652317,pH
QY207,2014,2.028250456,SOC
QY207,2014,5.22,pH
QY207,2019,2.291409708,SOC
QY207,2019,5.25,pH
QY208,2014,2.050490657,SOC
QY208,2014,7.97,pH
QY208,2019,2.678584634,SOC
QY208,2019,7.55,pH
QY222,2014,1.490367067,SOC
QY222,2014,5.04,pH
QY222,2019,1.126564917,SOC
QY222,2019,5.7,pH
QY231,2014,2.213585467,SOC
QY231,2014,7.78,pH
QY231,2019,2.483988314,SOC
QY231,2019,5.5,pH
QY233,2014,2.30748854,SOC
QY233,2014,6.11,pH
QY233,2019,2.112986813,SOC
QY233,2019,6.85,pH
QY236,2014,1.834678333,SOC
QY236,2014,7.61,pH
QY236,2019,1.972304593,SOC
QY236,2019,6.6,pH
QY242,2014,1.212776405,SOC
QY242,2014,7.26,pH
QY242,2019,1.929527086,SOC
QY242,2019,5.22,pH
QY243,2014,1.654285588,SOC
QY243,2014,6.83,pH
QY243,2019,2.25016855,SOC
QY243,2019,7.01,pH
QY246,2014,2.950806958,SOC
QY246,2014,7.69,pH
QY246,2019,1.885437261,SOC
QY246,2019,7.85,pH
QY248,2014,2.15839682,SOC
QY248,2014,7.75,pH
QY248,2019,1.582148637,SOC
QY248,2019,7.25,pH
QY264,2014,2.332199875,SOC
QY264,2014,6.3,pH
QY264,2019,2.621828128,SOC
QY264,2019,5.678848315,pH
QY267,2014,1.369281526,SOC
QY267,2014,6.23,pH
QY267,2019,1.938753257,SOC
QY267,2019,7.44,pH
QY270,2014,2.98046056,SOC
QY270,2014,7.48,pH
QY270,2019,2.876902723,SOC
QY270,2019,6.85,pH
QY274,2014,1.251490829,SOC
QY274,2014,7.56,pH
QY274,2019,1.9146054,SOC
QY274,2019,6.4,pH
QY278,2014,2.104031883,SOC
QY278,2014,7.26,pH
QY278,2019,2.35667793,SOC
QY278,2019,6.813483831,pH
QY284,2014,1.758073194,SOC
QY284,2014,6.6,pH
QY284,2019,3.226310433,SOC
QY284,2019,6.01,pH
QY285,2014,1.819851532,SOC
QY285,2014,6.78,pH
QY285,2019,3.130258758,SOC
QY285,2019,5.2,pH
QY291,2014,2.411276147,SOC
QY291,2014,6.76,pH
QY291,2019,1.710514768,SOC
QY291,2019,5.4,pH
QY293,2014,1.976356653,SOC
QY293,2014,6.43,pH
QY293,2019,2.495926891,SOC
QY293,2019,7.35,pH
QY295,2014,1.950821607,SOC
QY295,2014,7.71,pH
QY295,2019,3.105596566,SOC
QY295,2019,7.35,pH
QY296,2014,1.628750542,SOC
QY296,2014,6.14,pH
QY296,2019,1.536399408,SOC
QY296,2019,5.54,pH
QY297,2014,2.377503989,SOC
QY297,2014,7.69,pH
QY297,2019,2.706132029,SOC
QY297,2019,6.9,pH
QY299,2014,1.383284615,SOC
QY299,2014,5.99,pH
QY299,2019,1.519109616,SOC
QY299,2019,5.399412921,pH
QY308,2014,1.523315513,SOC
QY308,2014,7.64,pH
QY308,2019,1.71958352,SOC
QY308,2019,5.9,pH
QY310,2014,0.799273401,SOC
QY310,2014,8.22,pH
QY310,2019,1.36805048,SOC
QY310,2019,7.4,pH
QY313,2014,1.856918534,SOC
QY313,2014,7.8,pH
QY313,2019,2.555438256,SOC
QY313,2019,6.98,pH
