site,ID,Year,dep,irr,CEC,clay,bulkdens,soil_type,SOC,pH,PS,fer,man,soilCd,rice_yield,straw_yield,straw_recy
QY003,QY003,1985,5.53060379,1.42678499,146.8921708,19.06604815,1399.999976,Calcareous,2.572321472,6.70404,1.47,0.587683167,11.5103838,0.262975261,15.73710834,15.4695775,0.3
QY003,QY003,1986,5.53060379,1.42678499,146.8921708,18.79340997,1399.999976,Calcareous,2.550000043,6.700344,1.48,0.633537211,11.88422633,0.26893932,16.7649229,16.47991921,0.3185
QY003,QY003,1987,5.53060379,1.42678499,146.8921708,18.52077179,1399.999976,Calcareous,2.531678615,6.698848,1.53,0.749629729,12.94208102,0.274983152,15.21461585,14.95596738,0.337
QY003,QY003,1988,5.53060379,1.42678499,146.8921708,18.24813361,1399.999976,Calcareous,2.520428614,6.691104,1.2,0.752938192,13.77874308,0.281489107,15.32244577,15.06196419,0.3555
QY003,QY003,1989,5.53060379,1.42678499,146.8921708,17.97549542,1399.999976,Calcareous,2.503107185,6.688024,1.2,0.850917584,13.80217891,0.288306964,15.32140179,15.06093796,0.374
QY003,QY003,1990,5.53060379,1.42678499,146.8921708,17.70285724,1399.999976,Calcareous,2.4886429,6.69128,1.47,0.950017333,13.82601521,0.295146293,15,14.745,0.3925
QY003,QY003,1991,5.856724548,1.42678499,146.8921708,17.43021906,1399.999976,Calcareous,2.475250042,6.688024,1.48,0.974601578,13.138329,0.301993825,14.78166585,14.53037753,0.411
QY003,QY003,1992,6.182845306,1.42678499,146.8921708,17.15758088,1399.999976,Calcareous,2.463107185,6.688112,1.53,0.997158103,12.46263933,0.308709036,15.64085866,15.37496406,0.4295
QY003,QY003,1993,6.508966064,1.42678499,146.8921708,16.8849427,1399.999976,Calcareous,2.451178613,6.68116,1.2,1.040559206,13.90224558,0.315240632,15.64085866,15.37496406,0.448
QY003,QY003,1994,6.835086822,1.42678499,146.8921708,16.61230452,1399.999976,Calcareous,2.438714327,6.694976,1.95,1.005388128,14.23326342,0.322443013,15.51288837,15.24916926,0.4665
QY003,QY003,1995,7.16120758,1.42678499,146.8921708,16.33966634,1399.999976,Calcareous,2.425928613,6.673592,0.89,1.213427679,14.68348816,0.329757587,15.41770864,15.1556076,0.485
QY003,QY003,1996,7.487328338,1.42678499,146.8921708,16.06702816,1399.999976,Calcareous,2.42507147,6.683888,1.47,1.156827478,15.66303148,0.337551732,15.11319015,14.85626592,0.5035
QY003,QY003,1997,7.813449096,1.42678499,146.8921708,15.79438998,1399.999976,Calcareous,2.429285756,6.691544,1.98,1.089113918,17.24749587,0.345712628,15.50060251,15.23709227,0.522
QY003,QY003,1998,8.139569854,1.42678499,146.8921708,15.5217518,1399.999976,Calcareous,2.430785756,6.687496,1.33,1.125826793,18.51592208,0.354424941,15.83063042,15.5615097,0.5405
QY003,QY003,1999,8.465690612,1.42678499,146.8921708,15.24911362,1399.999976,Calcareous,2.433392899,6.677904,1,1.149765673,19.98527732,0.363790062,15.75951169,15.49159999,0.559
QY003,QY003,2000,8.79181137,1.42678499,146.8921708,14.97647544,1399.999976,Calcareous,2.45282147,6.680632,1.41,1.221607611,20.52136685,0.373842303,15.67105806,15.40465007,0.5775
QY003,QY003,2001,9.117932128,1.42678499,146.8921708,14.70383725,1399.999976,Calcareous,2.474964328,6.676848,1.14,1.208337495,21.15442361,0.384157939,15.5503896,15.28603298,0.596
QY003,QY003,2002,9.444052886,1.42678499,146.8921708,14.43119907,1399.999976,Calcareous,2.472785756,6.694624,2.09,1.194577376,21.17076746,0.394857994,15.59614792,15.3310134,0.6145
QY003,QY003,2003,9.770173644,1.42678499,146.8921708,14.15856089,1399.999976,Calcareous,2.469357185,6.656608,0.85,1.489215673,21.36983013,0.405501555,16.2228485,15.94706008,0.633
QY003,QY003,2004,10.0962944,1.42678499,146.8921708,13.88592271,1399.999976,Calcareous,2.469821471,6.677552,1.31,1.663700632,22.27656051,0.416577303,17.48399949,17.1867715,0.6515
QY003,QY003,2005,10.42241516,1.42678499,146.8921708,13.61328453,1399.999976,Calcareous,2.473250042,6.667344,1.31,1.854681703,23.24748988,0.428001051,16.39821685,16.11944716,0.67
QY003,QY003,2006,10.74853592,1.42678499,146.8921708,13.34064635,1399.999976,Calcareous,2.477928614,6.679488,1.55,1.863821913,24.15608281,0.439991316,14.88082623,14.62785219,0.6885
QY003,QY003,2007,11.07465668,1.42678499,146.8921708,13.06800817,1399.999976,Calcareous,2.483571471,6.671304,1.18,1.879502208,24.79250597,0.452462318,14.68242441,14.43282319,0.707
QY003,QY003,2008,11.40077743,1.42678499,146.8921708,12.79536999,1399.999976,Calcareous,2.484500042,6.664616,1.11,1.904706405,20.46756379,0.465350391,14.52823744,14.2812574,0.7255
QY003,QY003,2009,11.72689819,1.42678499,146.8921708,12.52273181,1399.999976,Calcareous,2.480785757,6.656168,0.95,1.954116711,20.99391887,0.476822255,13.71517355,13.4820156,0.744
QY003,QY003,2010,11.72689819,1.42678499,146.8921708,12.25009363,1399.999976,Calcareous,2.486571471,6.651592,0.91,1.97843917,21.53791133,0.488680362,12.83406594,12.61588682,0.7625
QY003,QY003,2011,10.85823907,1.42678499,146.8921708,11.97745545,1399.999976,Calcareous,2.492607185,6.615864,0.6,2.037449771,21.19601705,0.500792642,13.04084408,12.81914973,0.781
QY003,QY003,2012,9.989579941,1.42678499,146.8921708,11.70481727,1399.999976,Calcareous,2.500178614,6.64024,0.98,2.077028556,21.52874846,0.512522168,13.26150926,13.0360636,0.7995
QY003,QY003,2013,9.120920816,1.42678499,146.8921708,11.43217908,1399.999976,Calcareous,2.5073929,6.593512,0.43,2.115605831,21.28179011,0.523982739,13.285913,13.06005248,0.818
QY003,QY003,2014,8.252261691,1.42678499,146.8921708,11.1595409,1399.999976,Calcareous,2.501607185,6.654672,1.16,2.226874528,21.24,0.535161789,13.22632715,13.00147959,0.8365
QY003,QY003,2015,7.383602565,1.42678499,146.8921708,10.88690272,1399.999976,Calcareous,2.507035757,6.639272,0.93,2.754890864,19.35903471,0.545912235,13.22749422,13.00262682,0.84
QY003,QY003,2016,6.51494344,1.42678499,146.8921708,10.61426454,1399.999976,Calcareous,2.513250043,6.650096,1.24,2.819332136,19.50082259,0.555891675,13.22871954,13.0038313,0.84
QY003,QY003,2017,5.646284315,1.42678499,146.8921708,10.34162636,1399.999976,Calcareous,2.516071471,6.639448,0.95,2.599226283,19.41819342,0.565532889,13.6803888,13.44782219,0.84
QY003,QY003,2018,4.777625189,1.42678499,146.8921708,10.06898818,1399.999976,Calcareous,2.516250043,6.636896,0.93,2.724368754,18.03891103,0.574766373,12.99037087,12.76953456,0.84
QY003,QY003,2019,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.540428615,6.633024,0.91,2.714193639,17.05949009,0.583259078,12.7021231,12.486187,0.84
QY024,QY024,1985,6.399752462,1.305510142,209.2839037,18.10679836,1250,Calcareous,1.98256,6.714336,1.47,0.117534774,0,0.190453879,15.73710834,15.4695775,0.3
QY024,QY024,1986,6.399752462,1.305510142,209.2839037,17.84787713,1250,Calcareous,1.96776,6.713544,1.48,0.121300702,0,0.192617731,16.7649229,16.47991921,0.3185
QY024,QY024,1987,6.399752462,1.305510142,209.2839037,17.5889559,1250,Calcareous,1.96056,6.714512,1.53,0.144544515,0,0.194717742,15.21461585,14.95596738,0.337
QY024,QY024,1988,6.399752462,1.305510142,209.2839037,17.33003468,1250,Calcareous,1.96128,6.710112,1.2,0.150055098,0,0.196893103,15.32244577,15.06196419,0.3555
QY024,QY024,1989,6.399752462,1.305510142,209.2839037,17.07111345,1250,Calcareous,1.95536,6.708968,1.2,0.168879889,0,0.199102084,15.32140179,15.06093796,0.374
QY024,QY024,1990,6.399752462,1.305510142,209.2839037,16.81219222,1250,Calcareous,1.95292,6.711256,1.47,0.187888993,0,0.201312394,15,14.745,0.3925
QY024,QY024,1991,6.899702954,1.305510142,209.2839037,16.553271,1250,Calcareous,1.95168,6.70844,1.48,0.195704592,0,0.20350944,14.78166585,14.53037753,0.411
QY024,QY024,1992,7.399653447,1.305510142,209.2839037,16.29434977,1250,Calcareous,1.95224,6.708616,1.53,0.201684955,0,0.205914305,15.64085866,15.37496406,0.4295
QY024,QY024,1993,7.899603939,1.305510142,209.2839037,16.03542855,1250,Calcareous,1.95304,6.704832,1.2,0.211081404,0,0.208468929,15.64085866,15.37496406,0.448
QY024,QY024,1994,8.399554431,1.305510142,209.2839037,15.77650732,1250,Calcareous,1.9522,6.710552,1.95,0.20772572,0,0.21126771,15.51288837,15.24916926,0.4665
QY024,QY024,1995,8.899504924,1.305510142,209.2839037,15.51758609,1250,Calcareous,1.95104,6.70668,0.89,0.240823357,0,0.214166956,15.41770864,15.1556076,0.485
QY024,QY024,1996,9.399455416,1.305510142,209.2839037,15.25866487,1250,Calcareous,1.96296,6.706152,1.47,0.240218974,0,0.217428283,15.11319015,14.85626592,0.5035
QY024,QY024,1997,9.899405909,1.305510142,209.2839037,14.99974364,1250,Calcareous,1.98016,6.708968,1.98,0.232057787,0,0.220822806,15.50060251,15.23709227,0.522
QY024,QY024,1998,10.3993564,1.305510142,209.2839037,14.74082242,1250,Calcareous,1.99384,6.712136,1.33,0.244620199,0,0.224327908,15.83063042,15.5615097,0.5405
QY024,QY024,1999,10.89930689,1.305510142,209.2839037,14.48190119,1250,Calcareous,2.00844,6.70844,1,0.248663379,0,0.228123126,15.75951169,15.49159999,0.559
QY024,QY024,2000,11.39925739,1.305510142,209.2839037,14.22297996,1250,Calcareous,2.04156,6.706416,1.41,0.252484533,0,0.232172577,15.67105806,15.40465007,0.5775
QY024,QY024,2001,11.89920788,1.305510142,209.2839037,13.96405874,1250,Calcareous,2.07804,6.706328,1.14,0.257892875,0,0.236378342,15.5503896,15.28603298,0.596
QY024,QY024,2002,12.39915837,1.305510142,209.2839037,13.70513751,1250,Calcareous,2.08724,6.712048,2.09,0.247920858,0,0.240846884,15.59614792,15.3310134,0.6145
QY024,QY024,2003,12.89910886,1.305510142,209.2839037,13.44621628,1250,Calcareous,2.09504,6.697088,0.85,0.300830631,0,0.245371313,16.2228485,15.94706008,0.633
QY024,QY024,2004,13.39905936,1.305510142,209.2839037,13.18729506,1250,Calcareous,2.10696,6.708,1.31,0.328735466,0,0.250259839,17.48399949,17.1867715,0.6515
QY024,QY024,2005,13.89900985,1.305510142,209.2839037,12.92837383,1250,Calcareous,2.1218,6.700784,1.31,0.35932762,0,0.255238264,16.39821685,16.11944716,0.67
QY024,QY024,2006,14.39896034,1.305510142,209.2839037,12.66945261,1250,Calcareous,2.13768,6.70888,1.55,0.359219272,0,0.26047591,14.88082623,14.62785219,0.6885
QY024,QY024,2007,14.89891083,1.305510142,209.2839037,12.41053138,1250,Calcareous,2.1544,6.70712,1.18,0.365469199,0,0.265956603,14.68242441,14.43282319,0.707
QY024,QY024,2008,15.39886132,1.305510142,209.2839037,12.15161015,1250,Calcareous,2.16584,6.702896,1.11,0.370831327,0,0.271708709,14.52823744,14.2812574,0.7255
QY024,QY024,2009,15.89881182,1.305510142,209.2839037,11.89268893,1250,Calcareous,2.17424,6.700784,0.95,0.381475967,0,0.277677687,13.71517355,13.4820156,0.744
QY024,QY024,2010,15.89881182,1.305510142,209.2839037,11.6337677,1250,Calcareous,2.19172,6.698056,0.91,0.386930229,0,0.283912345,12.83406594,12.61588682,0.7625
QY024,QY024,2011,14.72112205,1.305510142,209.2839037,11.37484648,1250,Calcareous,2.20916,6.68116,0.6,0.401344279,0,0.290197547,13.04084408,12.81914973,0.781
QY024,QY024,2012,13.54343229,1.305510142,209.2839037,11.11592525,1250,Calcareous,2.2284,6.689168,0.98,0.411542702,0,0.296053987,13.26150926,13.0360636,0.7995
QY024,QY024,2013,12.36574252,1.305510142,209.2839037,10.85700402,1250,Calcareous,2.24692,6.676584,0.43,0.418390721,0,0.301376855,13.285913,13.06005248,0.818
QY024,QY024,2014,11.18805276,1.305510142,209.2839037,10.5980828,1250,Calcareous,2.25092,6.70184,1.16,0.443563265,0,0.306328778,13.22632715,13.00147959,0.8365
QY024,QY024,2015,10.010363,1.305510142,209.2839037,10.33916157,1250,Calcareous,2.26716,6.696736,0.93,0.498657902,0,0.310710559,13.22749422,13.00262682,0.84
QY024,QY024,2016,8.832673232,1.305510142,209.2839037,10.08024035,1250,Calcareous,2.28504,6.699816,1.24,0.508845197,0,0.31467293,13.22871954,13.0038313,0.84
QY024,QY024,2017,7.654983467,1.305510142,209.2839037,9.821319119,1250,Calcareous,2.29844,6.69744,0.95,0.483541607,0,0.318103608,13.6803888,13.44782219,0.84
QY024,QY024,2018,6.477293703,1.305510142,209.2839037,9.562397893,1250,Calcareous,2.30872,6.697968,0.93,0.497000137,0,0.321071612,12.99037087,12.76953456,0.84
QY024,QY024,2019,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.34624,6.695944,0.91,0.496447491,0,0.323598167,12.7021231,12.486187,0.84
QY031,QY031,1985,6.659197176,1.15037538,89.17338403,13.6593675,1250,Non-calcareous,1.98116,5.953664,1.47,0.308869647,10.07971463,0.245216645,13.63882723,13.40696716,0.3
QY031,QY031,1986,6.659197176,1.15037538,89.17338403,13.46404306,1250,Non-calcareous,1.97092,5.851848,1.48,0.324713341,10.40709085,0.249891335,14.52959985,14.28259665,0.3185
QY031,QY031,1987,6.659197176,1.15037538,89.17338403,13.26871863,1250,Non-calcareous,1.96348,5.765168,1.53,0.39296148,11.33346078,0.254228253,13.18600041,12.9618384,0.337
QY031,QY031,1988,6.659197176,1.15037538,89.17338403,13.07339419,1250,Non-calcareous,1.96292,5.722928,1.2,0.406423646,12.06613094,0.258807565,13.279453,13.0537023,0.3555
QY031,QY031,1989,6.659197176,1.15037538,89.17338403,12.87806975,1250,Non-calcareous,1.95632,5.673648,1.2,0.465814237,12.08665385,0.263746781,13.27854822,13.0528129,0.374
QY031,QY031,1990,6.659197176,1.15037538,89.17338403,12.68274532,1250,Non-calcareous,1.95216,5.619264,1.47,0.525656686,12.10752745,0.268502968,13,12.779,0.3925
QY031,QY031,1991,7.211036611,1.15037538,89.17338403,12.48742088,1250,Non-calcareous,1.94884,5.567696,1.48,0.54783654,11.50531636,0.272837971,12.81077707,12.59299386,0.411
QY031,QY031,1992,7.762876046,1.15037538,89.17338403,12.29209645,1250,Non-calcareous,1.9464,5.5134,1.53,0.567451169,10.91361071,0.276922899,13.55541084,13.32496885,0.4295
QY031,QY031,1993,8.314715481,1.15037538,89.17338403,12.09677201,1250,Non-calcareous,1.94396,5.493248,1.2,0.591376337,12.17428285,0.28049851,13.55541084,13.32496885,0.448
QY031,QY031,1994,8.866554916,1.15037538,89.17338403,11.90144757,1250,Non-calcareous,1.94112,5.523872,1.95,0.579027757,12.46415724,0.285084013,13.44450325,13.2159467,0.4665
QY031,QY031,1995,9.418394351,1.15037538,89.17338403,11.70612314,1250,Non-calcareous,1.93776,5.396184,0.89,0.676592036,12.85842184,0.289204376,13.36201416,13.13485992,0.485
QY031,QY031,1996,9.970233786,1.15037538,89.17338403,11.5107987,1250,Non-calcareous,1.94584,5.433672,1.47,0.665784351,13.716214,0.294491522,13.09809813,12.87543046,0.5035
QY031,QY031,1997,10.52207322,1.15037538,89.17338403,11.31547426,1250,Non-calcareous,1.95888,5.450744,1.98,0.635341895,15.10373932,0.299704851,13.43385551,13.20547997,0.522
QY031,QY031,1998,11.07391266,1.15037538,89.17338403,11.12014983,1250,Non-calcareous,1.96944,5.337576,1.33,0.664909612,16.21450803,0.304968455,13.7198797,13.48664174,0.5405
QY031,QY031,1999,11.62575209,1.15037538,89.17338403,10.92482539,1250,Non-calcareous,1.98096,5.313112,1,0.679072946,17.50123155,0.311119678,13.65824346,13.42605333,0.559
QY031,QY031,2000,12.17759153,1.15037538,89.17338403,10.72950096,1250,Non-calcareous,2.00884,5.31848,1.41,0.695594592,17.97068848,0.318443248,13.58158365,13.35069673,0.5775
QY031,QY031,2001,12.72943096,1.15037538,89.17338403,10.53417652,1250,Non-calcareous,2.03932,5.259168,1.14,0.701078848,18.52506022,0.325507599,13.47700432,13.24789525,0.596
QY031,QY031,2002,13.2812704,1.15037538,89.17338403,10.33885208,1250,Non-calcareous,2.04616,5.335024,2.09,0.685357854,18.53937264,0.33320837,13.51666153,13.28687828,0.6145
