site,ID,Year,dep,irr,CEC,clay,bulkdens,soil_type,SOC,pH,PS,fer,man,soilCd,rice_yield,straw_yield,straw_recy,lime,scenario
QY003,QY003,2020,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.5341429,6.632144,0.91,2.714193639,4.264872523,0.591093018,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2021,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.535178615,6.631264,0.91,2.714193639,4.264872523,0.594338522,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2022,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.536035757,6.630472,0.91,2.714193639,4.264872523,0.597577595,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2023,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.536714329,6.629856,0.91,2.714193639,4.264872523,0.600810244,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2024,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.537250043,6.629328,0.91,2.714193639,4.264872523,0.604036579,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2025,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.537714329,6.628888,0.91,2.714193639,4.264872523,0.607256629,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2026,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.538107186,6.628448,0.91,2.714193639,4.264872523,0.610470464,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2027,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.538464329,6.628184,0.91,2.714193639,4.264872523,0.613678054,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2028,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.538785758,6.62792,0.91,2.714193639,4.264872523,0.616879593,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2029,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.539071472,6.627744,0.91,2.714193639,4.264872523,0.620075072,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2030,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.539321472,6.627568,0.91,2.714193639,4.264872523,0.623264585,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2031,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.539571472,6.62748,0.91,2.714193639,4.264872523,0.626448123,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2032,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.539785758,6.627304,0.91,2.714193639,4.264872523,0.629625803,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2033,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.540035758,6.627216,0.91,2.714193639,4.264872523,0.632797511,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2034,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.540214329,6.627128,0.91,2.714193639,4.264872523,0.635963385,12.7021231,12.486187,0.84,0,BAU
