"ID","scenario","soil_type","variable","value"
"QY003","BAU","Calcareous","deposition",3.908966064
"QY003","BNP","Calcareous","deposition",3.908966064
"QY003","BNPR","Calcareous","deposition",3.908966064
"QY003","BNPL","Calcareous","deposition",3.908966064
"QY003","BNPRLopt","Calcareous","deposition",3.406499365
"QY003","BNPRLopt(dep)","Calcareous","deposition",0
"QY003","BAU","Calcareous","manure",4.264872523
"QY003","BNP","Calcareous","manure",4.264872523
"QY003","BNPR","Calcareous","manure",4.264872523
"QY003","BNPL","Calcareous","manure",4.264872523
"QY003","BNPRLopt","Calcareous","manure",0
"QY003","BNPRLopt(dep)","Calcareous","manure",3.406499365
"QY003","BAU","Calcareous","irrigation",1.42678499
"QY003","BNP","Calcareous","irrigation",1.42678499
"QY003","BNPR","Calcareous","irrigation",1.42678499
"QY003","BNPL","Calcareous","irrigation",1.42678499
"QY003","BNPRLopt","Calcareous","irrigation",1.42678499
"QY003","BNPRLopt(dep)","Calcareous","irrigation",1.42678499
"QY003","BAU","Calcareous","fertilizer",2.714193639
"QY003","BNP","Calcareous","fertilizer",0.489336211
"QY003","BNPR","Calcareous","fertilizer",0.301475571
"QY003","BNPL","Calcareous","fertilizer",0.489336211
"QY003","BNPRLopt","Calcareous","fertilizer",0.301475571
"QY003","BNPRLopt(dep)","Calcareous","fertilizer",0.301475571
"QY003","BAU","Calcareous","total input",12.314817216
"QY003","BNP","Calcareous","total input",10.089959788
"QY003","BNPR","Calcareous","total input",9.902099148
"QY003","BNPL","Calcareous","total input",10.089959788
"QY003","BNPRLopt","Calcareous","total input",5.134759926
"QY003","BNPRLopt(dep)","Calcareous","total input",5.134759926
"QY003","Critical input","Calcareous","total input",5.48946332471322
"QY003","Critical input","Calcareous","critical input",5.48946332471322
"QY024","BAU","Calcareous","deposition",5.299603939
"QY024","BNP","Calcareous","deposition",5.299603939
"QY024","BNPR","Calcareous","deposition",5.299603939
"QY024","BNPL","Calcareous","deposition",5.299603939
"QY024","BNPRLopt","Calcareous","deposition",4.354788805
"QY024","BNPRLopt(dep)","Calcareous","deposition",0.326028805
"QY024","BAU","Calcareous","manure",0
"QY024","BNP","Calcareous","manure",0
"QY024","BNPR","Calcareous","manure",4.02876
"QY024","BNPL","Calcareous","manure",0
"QY024","BNPRLopt","Calcareous","manure",0
"QY024","BNPRLopt(dep)","Calcareous","manure",4.02876
"QY024","BAU","Calcareous","irrigation",1.305510142
"QY024","BNP","Calcareous","irrigation",1.305510142
"QY024","BNPR","Calcareous","irrigation",1.305510142
"QY024","BNPL","Calcareous","irrigation",1.305510142
"QY024","BNPRLopt","Calcareous","irrigation",1.305510142
"QY024","BNPRLopt(dep)","Calcareous","irrigation",1.305510142
"QY024","BAU","Calcareous","fertilizer",0.496447491
"QY024","BNP","Calcareous","fertilizer",0.421125166
"QY024","BNPR","Calcareous","fertilizer",0.097532468
"QY024","BNPL","Calcareous","fertilizer",0.421125166
"QY024","BNPRLopt","Calcareous","fertilizer",0.097532468
"QY024","BNPRLopt(dep)","Calcareous","fertilizer",0.097532468
"QY024","BAU","Calcareous","total input",7.101561572
"QY024","BNP","Calcareous","total input",7.026239247
"QY024","BNPR","Calcareous","total input",10.731406549
"QY024","BNPL","Calcareous","total input",7.026239247
"QY024","BNPRLopt","Calcareous","total input",5.757831415
"QY024","BNPRLopt(dep)","Calcareous","total input",5.757831415
"QY024","Critical input","Calcareous","total input",6.04334607664676
"QY024","Critical input","Calcareous","critical input",6.04334607664676
"QY031","BAU","Non-calcareous","deposition",5.714715481
"QY031","BNP","Non-calcareous","deposition",5.714715481
"QY031","BNPR","Non-calcareous","deposition",5.714715481
"QY031","BNPL","Non-calcareous","deposition",5.714715481
