"ID","soil_type","item","value"
"QY003","Calcareous","Critical pH",5.85951447869255
"QY024","Calcareous","Critical pH",5.5
"QY031","Non-calcareous","Critical pH",5.91741189574445
"QY040","Calcareous","Critical pH",6.52267579118995
"QY049","Calcareous","Critical pH",5.5
"QY065","Non-calcareous","Critical pH",5.5
"QY070","Calcareous","Critical pH",5.65634299393553
"QY073","Non-calcareous","Critical pH",5.58729291899802
"QY076","Calcareous","Critical pH",5.5
"QY077","Non-calcareous","Critical pH",5.89309345883609
"QY079","Calcareous","Critical pH",5.58203023168937
"QY081","Calcareous","Critical pH",5.5
"QY085","Non-calcareous","Critical pH",5.80073464029739
"QY087","Calcareous","Critical pH",5.62217371281055
"QY090","Calcareous","Critical pH",5.5
"QY094","Calcareous","Critical pH",5.5
"QY095","Non-calcareous","Critical pH",5.83289720918886
"QY101","Non-calcareous","Critical pH",6.07962931235598
"QY106","Calcareous","Critical pH",5.94322002016711
"QY107","Non-calcareous","Critical pH",6.37205035690509
"QY110","Non-calcareous","Critical pH",5.77087526747819
"QY154","Non-calcareous","Critical pH",6.25861091493029
"QY163","Non-calcareous","Critical pH",5.75386061363178
"QY165","Calcareous","Critical pH",6.21094007572917
"QY175","Calcareous","Critical pH",5.5
"QY182","Calcareous","Critical pH",6.50485883867809
"QY189","Calcareous","Critical pH",5.5
"QY193","Calcareous","Critical pH",5.5
"QY199","Calcareous","Critical pH",6.80531774244214
"QY200","Calcareous","Critical pH",6.88067209096827
"QY207","Non-calcareous","Critical pH",5.5
"QY208","Calcareous","Critical pH",5.97703873268717
"QY222","Non-calcareous","Critical pH",5.5
"QY231","Calcareous","Critical pH",5.5
"QY233","Calcareous","Critical pH",5.5
"QY236","Calcareous","Critical pH",5.57529288745815
"QY242","Calcareous","Critical pH",6.53380665757696
"QY243","Calcareous","Critical pH",6.54917696101509
"QY246","Calcareous","Critical pH",5.62012689487649
"QY248","Calcareous","Critical pH",5.5
"QY264","Non-calcareous","Critical pH",5.5
"QY267","Calcareous","Critical pH",5.5
"QY270","Calcareous","Critical pH",5.96660087160896
"QY274","Calcareous","Critical pH",5.5
"QY278","Calcareous","Critical pH",5.5
"QY284","Calcareous","Critical pH",5.5
"QY285","Calcareous","Critical pH",5.5
"QY291","Non-calcareous","Critical pH",5.94243418144322
"QY293","Calcareous","Critical pH",5.5
"QY295","Calcareous","Critical pH",5.5
"QY296","Non-calcareous","Critical pH",5.5
"QY297","Calcareous","Critical pH",5.5
"QY299","Non-calcareous","Critical pH",5.5
"QY308","Calcareous","Critical pH",5.96121979292662
"QY310","Calcareous","Critical pH",5.74361478052126
"QY313","Calcareous","Critical pH",6.3612260962609
"QY003","Calcareous","Critical soil total Cd",0.584487954161349
"QY024","Calcareous","Critical soil total Cd",0.373513883168524
"QY031","Non-calcareous","Critical soil total Cd",0.428659513820797
"QY040","Calcareous","Critical soil total Cd",0.360344302099423
"QY049","Calcareous","Critical soil total Cd",0.714074603389585
"QY065","Non-calcareous","Critical soil total Cd",0.639992502119863
"QY070","Calcareous","Critical soil total Cd",0.645718630821364
"QY073","Non-calcareous","Critical soil total Cd",0.41386444410596
"QY076","Calcareous","Critical soil total Cd",0.290856345042511
"QY077","Non-calcareous","Critical soil total Cd",0.318442165405402
"QY079","Calcareous","Critical soil total Cd",0.375578478516581
"QY081","Calcareous","Critical soil total Cd",0.537461006369624
"QY085","Non-calcareous","Critical soil total Cd",0.201668415850378
"QY087","Calcareous","Critical soil total Cd",0.418516129378123
"QY090","Calcareous","Critical soil total Cd",0.338521566888286
"QY094","Calcareous","Critical soil total Cd",0.325233391963429
"QY095","Non-calcareous","Critical soil total Cd",0.303896486812873
"QY101","Non-calcareous","Critical soil total Cd",0.213055292548605
"QY106","Calcareous","Critical soil total Cd",0.277209545537474
