"ID","scenario","lime_input_kg_ha_5_years"
"QY003","BNPRLopt",0
"QY003","BNPRLopt(dep)",0
"QY024","BNPRLopt",0
"QY024","BNPRLopt(dep)",0
"QY031","BNPRLopt",39.856073265
"QY031","BNPRLopt(dep)",36.917131234
"QY040","BNPRLopt",0
"QY040","BNPRLopt(dep)",0
"QY049","BNPRLopt",0
"QY049","BNPRLopt(dep)",0
"QY065","BNPRLopt",0
"QY065","BNPRLopt(dep)",0
"QY070","BNPRLopt",0
"QY070","BNPRLopt(dep)",0
"QY073","BNPRLopt",3.362629962
"QY073","BNPRLopt(dep)",3.362629962
"QY076","BNPRLopt",0
"QY076","BNPRLopt(dep)",0
"QY077","BNPRLopt",12.9921517437
"QY077","BNPRLopt(dep)",12.9921517437
"QY079","BNPRLopt",0
"QY079","BNPRLopt(dep)",0
"QY081","BNPRLopt",0
"QY081","BNPRLopt(dep)",0
"QY085","BNPRLopt",21.276518169
"QY085","BNPRLopt(dep)",22.089759736
"QY087","BNPRLopt",0
"QY087","BNPRLopt(dep)",0
"QY090","BNPRLopt",0
"QY090","BNPRLopt(dep)",0
"QY094","BNPRLopt",0
"QY094","BNPRLopt(dep)",0
"QY095","BNPRLopt",5.79639152
"QY095","BNPRLopt(dep)",5.78148527
"QY101","BNPRLopt",4.241200964
"QY101","BNPRLopt(dep)",4.185400964
"QY106","BNPRLopt",0
"QY106","BNPRLopt(dep)",0
"QY107","BNPRLopt",20.95932552435
"QY107","BNPRLopt(dep)",20.60397678
"QY110","BNPRLopt",5.131836646
"QY110","BNPRLopt(dep)",4.909566646
"QY154","BNPRLopt",25.859765879
"QY154","BNPRLopt(dep)",24.36336433
"QY163","BNPRLopt",21.651827417
"QY163","BNPRLopt(dep)",19.106027312
"QY165","BNPRLopt",0
"QY165","BNPRLopt(dep)",0
"QY175","BNPRLopt",0
"QY175","BNPRLopt(dep)",0
"QY182","BNPRLopt",0
"QY182","BNPRLopt(dep)",0
"QY189","BNPRLopt",0
"QY189","BNPRLopt(dep)",0
"QY193","BNPRLopt",0
"QY193","BNPRLopt(dep)",0
"QY199","BNPRLopt",0
"QY199","BNPRLopt(dep)",0
"QY200","BNPRLopt",0
"QY200","BNPRLopt(dep)",0
"QY207","BNPRLopt",1.4203317576
"QY207","BNPRLopt(dep)",1.227
"QY208","BNPRLopt",0
"QY208","BNPRLopt(dep)",0
"QY222","BNPRLopt",0.258322851
"QY222","BNPRLopt(dep)",0
"QY231","BNPRLopt",0
"QY231","BNPRLopt(dep)",0
"QY233","BNPRLopt",0
"QY233","BNPRLopt(dep)",0
"QY236","BNPRLopt",0
"QY236","BNPRLopt(dep)",0
"QY242","BNPRLopt",0
"QY242","BNPRLopt(dep)",0
"QY243","BNPRLopt",0
"QY243","BNPRLopt(dep)",0
"QY246","BNPRLopt",0
"QY246","BNPRLopt(dep)",0
"QY248","BNPRLopt",0
"QY248","BNPRLopt(dep)",0
"QY264","BNPRLopt",0
"QY264","BNPRLopt(dep)",0
"QY267","BNPRLopt",0
"QY267","BNPRLopt(dep)",0
"QY270","BNPRLopt",0
"QY270","BNPRLopt(dep)",0
"QY274","BNPRLopt",0
"QY274","BNPRLopt(dep)",0
"QY278","BNPRLopt",0
"QY278","BNPRLopt(dep)",0
"QY284","BNPRLopt",0
"QY284","BNPRLopt(dep)",0
"QY285","BNPRLopt",0
"QY285","BNPRLopt(dep)",0
"QY291","BNPRLopt",5.627276147
"QY291","BNPRLopt(dep)",5.294336147
"QY293","BNPRLopt",0
"QY293","BNPRLopt(dep)",0
"QY295","BNPRLopt",0
"QY295","BNPRLopt(dep)",0
"QY296","BNPRLopt",0
"QY296","BNPRLopt(dep)",0
"QY297","BNPRLopt",0
"QY297","BNPRLopt(dep)",0
"QY299","BNPRLopt",0
"QY299","BNPRLopt(dep)",0
"QY308","BNPRLopt",0
"QY308","BNPRLopt(dep)",0
"QY310","BNPRLopt",0
"QY310","BNPRLopt(dep)",0
"QY313","BNPRLopt",0
"QY313","BNPRLopt(dep)",0
