site,ID,Year,CEC,clay,bulkdens,soil_type,SOC,pH,soilCd,PS,dep,irr,fer,man,rice_yield,straw_yield,straw_recy
QY003,QY003,1985,146.8921708,27,1399.999976,Calcareous,2.550000043,6.70404,0.262975261,1.47,5.53060379,1.42678499,0.587683167,11.5103838,15.73710834,15.4695775,0.3
QY003,QY003,1986,146.8921708,26.49401029,1399.999976,Calcareous,2.531678615,6.700344,0.26893932,1.48,5.53060379,1.42678499,0.633537211,11.88422633,16.7649229,16.47991921,0.3185
QY003,QY003,1987,146.8921708,25.98802059,1399.999976,Calcareous,2.520428614,6.698848,0.274983152,1.53,5.53060379,1.42678499,0.749629729,12.94208102,15.21461585,14.95596738,0.337
QY003,QY003,1988,146.8921708,25.48203088,1399.999976,Calcareous,2.503107185,6.691104,0.281489107,1.2,5.53060379,1.42678499,0.752938192,13.77874308,15.32244577,15.06196419,0.3555
QY003,QY003,1989,146.8921708,24.97604118,1399.999976,Calcareous,2.4886429,6.688024,0.288306964,1.2,5.53060379,1.42678499,0.850917584,13.80217891,15.32140179,15.06093796,0.374
QY003,QY003,1990,146.8921708,24.47005147,1399.999976,Calcareous,2.475250042,6.69128,0.295146293,1.47,5.53060379,1.42678499,0.950017333,13.82601521,15,14.745,0.3925
QY003,QY003,1991,146.8921708,23.96406176,1399.999976,Calcareous,2.463107185,6.688024,0.301993825,1.48,5.856724548,1.42678499,0.974601578,13.138329,14.78166585,14.53037753,0.411
QY003,QY003,1992,146.8921708,23.45807206,1399.999976,Calcareous,2.451178613,6.688112,0.308709036,1.53,6.182845306,1.42678499,0.997158103,12.46263933,15.64085866,15.37496406,0.4295
QY003,QY003,1993,146.8921708,22.95208235,1399.999976,Calcareous,2.438714327,6.68116,0.315240632,1.2,6.508966064,1.42678499,1.040559206,13.90224558,15.64085866,15.37496406,0.448
QY003,QY003,1994,146.8921708,22.44609265,1399.999976,Calcareous,2.425928613,6.694976,0.322443013,1.95,6.835086822,1.42678499,1.005388128,14.23326342,15.51288837,15.24916926,0.4665
QY003,QY003,1995,146.8921708,21.94010294,1399.999976,Calcareous,2.42507147,6.673592,0.329757587,0.89,7.16120758,1.42678499,1.213427679,14.68348816,15.41770864,15.1556076,0.485
QY003,QY003,1996,146.8921708,21.43411324,1399.999976,Calcareous,2.429285756,6.683888,0.337551732,1.47,7.487328338,1.42678499,1.156827478,15.66303148,15.11319015,14.85626592,0.5035
QY003,QY003,1997,146.8921708,20.92812353,1399.999976,Calcareous,2.430785756,6.691544,0.345712628,1.98,7.813449096,1.42678499,1.089113918,17.24749587,15.50060251,15.23709227,0.522
QY003,QY003,1998,146.8921708,20.42213382,1399.999976,Calcareous,2.433392899,6.687496,0.354424941,1.33,8.139569854,1.42678499,1.125826793,18.51592208,15.83063042,15.5615097,0.5405
QY003,QY003,1999,146.8921708,19.91614412,1399.999976,Calcareous,2.45282147,6.677904,0.363790062,1,8.465690612,1.42678499,1.149765673,19.98527732,15.75951169,15.49159999,0.559
QY003,QY003,2000,146.8921708,19.41015441,1399.999976,Calcareous,2.474964328,6.680632,0.373842303,1.41,8.79181137,1.42678499,1.221607611,20.52136685,15.67105806,15.40465007,0.5775
QY003,QY003,2001,146.8921708,18.90416471,1399.999976,Calcareous,2.472785756,6.676848,0.384157939,1.14,9.117932128,1.42678499,1.208337495,21.15442361,15.5503896,15.28603298,0.596
QY003,QY003,2002,146.8921708,18.398175,1399.999976,Calcareous,2.469357185,6.694624,0.394857994,2.09,9.444052886,1.42678499,1.194577376,21.17076746,15.59614792,15.3310134,0.6145
QY003,QY003,2003,146.8921708,17.89218529,1399.999976,Calcareous,2.469821471,6.656608,0.405501555,0.85,9.770173644,1.42678499,1.489215673,21.36983013,16.2228485,15.94706008,0.633
QY003,QY003,2004,146.8921708,17.38619559,1399.999976,Calcareous,2.473250042,6.677552,0.416577303,1.31,10.0962944,1.42678499,1.663700632,22.27656051,17.48399949,17.1867715,0.6515
QY003,QY003,2005,146.8921708,16.88020588,1399.999976,Calcareous,2.477928614,6.667344,0.428001051,1.31,10.42241516,1.42678499,1.854681703,23.24748988,16.39821685,16.11944716,0.67
QY003,QY003,2006,146.8921708,16.37421618,1399.999976,Calcareous,2.483571471,6.679488,0.439991316,1.55,10.74853592,1.42678499,1.863821913,24.15608281,14.88082623,14.62785219,0.6885
QY003,QY003,2007,146.8921708,15.86822647,1399.999976,Calcareous,2.484500042,6.671304,0.452462318,1.18,11.07465668,1.42678499,1.879502208,24.79250597,14.68242441,14.43282319,0.707
