site,ID,Year,CEC,clay,bulkdens,soil_type,SOC,pH,PS,dep,irr,fer,man,soilCd,rice_yield,straw_yield,straw_recy,lime,scenario,Cd_solu,Cd_rice,Cd_straw,crop,res_in,lea,Cd_acc
QY003,QY003,2020,146.8921708,9.79635,1399.999976,Calcareous,2.5341429,6.632144,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.595313859,12.7021231,12.486187,0.84,0,BAU,0.089179525,0.125866412,0.363002698,2.323973794,3.80731644,0.811533681,9.179309741
QY003,QY003,2021,146.8921708,9.79635,1399.999976,Calcareous,2.535178615,6.631264,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.598592184,12.7021231,12.486187,0.84,0,BAU,0.089756262,0.126532676,0.364924224,2.336275563,3.827470164,0.816781985,9.161759667
QY003,QY003,2022,146.8921708,9.79635,1399.999976,Calcareous,2.536035757,6.630472,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.601864241,12.7021231,12.486187,0.84,0,BAU,0.090329432,0.12719931,0.366846818,2.348584175,3.847635098,0.821997827,9.144235214
QY003,QY003,2023,146.8921708,9.79635,1399.999976,Calcareous,2.536714329,6.629856,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.605130039,12.7021231,12.486187,0.84,0,BAU,0.090886801,0.127857265,0.368744381,2.360732529,3.867537486,0.827069894,9.127014794
QY003,QY003,2024,146.8921708,9.79635,1399.999976,Calcareous,2.537250043,6.629328,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.608389687,12.7021231,12.486187,0.84,0,BAU,0.091438594,0.128513419,0.370636749,2.372847632,3.8873854,0.832091204,9.10987838
QY003,QY003,2025,146.8921708,9.79635,1399.999976,Calcareous,2.537714329,6.628888,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.611643215,12.7021231,12.486187,0.84,0,BAU,0.091981241,0.129163476,0.372511535,2.384850164,3.907048892,0.837029296,9.092937755
QY003,QY003,2026,146.8921708,9.79635,1399.999976,Calcareous,2.538107186,6.628448,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.614890693,12.7021231,12.486187,0.84,0,BAU,0.092526968,0.129816583,0.374395115,2.396909006,3.926804633,0.841995411,9.075912799
QY003,QY003,2027,146.8921708,9.79635,1399.999976,Calcareous,2.538464329,6.628184,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.618132091,12.7021231,12.486187,0.84,0,BAU,0.093049183,0.130452129,0.376228048,2.408643598,3.946029164,0.846747561,9.059426057
QY003,QY003,2028,146.8921708,9.79635,1399.999976,Calcareous,2.538785758,6.62792,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.6213676,12.7021231,12.486187,0.84,0,BAU,0.093572547,0.131088505,0.378063379,2.42039354,3.965278841,0.851510176,9.0429135
QY003,QY003,2029,146.8921708,9.79635,1399.999976,Calcareous,2.539071472,6.627744,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.624597212,12.7021231,12.486187,0.84,0,BAU,0.094084504,0.131716404,0.379874258,2.431986936,3.984272054,0.85616899,9.02666129
