Data to derive cadmium regression model.,,,,,,,,,,
Unit:,,,,mg/kg,mg/kg,mg/kg,mg/L,g/kg,%,
X,Y,land_use,pH,SoilCdtot,RiceCd,StrawCd,SoilCdavi,OC,Clay,source
111.8052778,26.56888889,Upland,4.4,0.2826324,NA,NA,0.07989,10.0175,45.755,mea_clay
112.0775,26.5925,Upland,7.55,0.3601424,NA,NA,0.01651,9.454,40.846,mea_clay
111.7266667,26.71361111,Upland,5.14,0.4306765,NA,NA,0.13179,9.4445,31.339,mea_clay
111.6533333,26.75833333,Upland,5.6,0.2516284,NA,NA,0.02407,9.681,27.249,mea_clay
112.1033333,26.36583333,Upland,5.6,0.5244636,NA,NA,0.05565,9.693,26.608,mea_clay
111.8058333,26.53694444,Upland,5.31,0.1562911,NA,NA,0.07082,7.3435,26.043,mea_clay
111.8925,26.35944444,Upland,4.46,0.1950461,NA,NA,0.10081,7.644,25.666,mea_clay
112.0230556,26.43638889,Upland,6.6,0.457805,NA,NA,0.00507,10.9355,22.454,mea_clay
111.8969444,26.50916667,Upland,5.56,0.2919336,NA,NA,0.05331,7.062,21.973,mea_clay
111.9961111,26.2875,Upland,5,0.3306886,NA,NA,0.11649,10.0875,20.944,mea_clay
112.1075,26.63055556,Upland,6.17,0.3004597,NA,NA,0.05694,8.2025,20.182,mea_clay
112.1413889,26.36055556,Upland,7.94,0.5035359,NA,NA,0.0018,12.6705,20.182,mea_clay
111.8186111,26.65555556,Upland,6.75,0.2128734,NA,NA,0.0073,6.301,19.363,mea_clay
111.8294444,26.72416667,Upland,6.88,0.5771704,NA,NA,0.00363,11.964,19.228,mea_clay
111.8297222,26.65444444,Upland,7.25,0.2500782,NA,NA,0.00183,8.8185,19.165,mea_clay
112.1008333,26.34,Upland,4.3,0.2322509,NA,NA,0.30118,10.5745,18.572,mea_clay
112.1255556,26.63333333,Upland,6.28,0.6329776,NA,NA,0.13083,13.8685,18.134,mea_clay
111.7836111,26.67361111,Upland,7.08,0.9360417,NA,NA,0.00312,21.512,17.985,mea_clay
111.8847222,26.65333333,Upland,5.87,0.2066726,NA,NA,0.01486,8.4645,16.311,mea_clay
111.6722222,26.80361111,Upland,4.65,0.3144115,NA,NA,0.16182,7.053,16.172,mea_clay
111.8097222,26.41194444,Upland,6.11,0.5136122,NA,NA,0.01622,14.785,15.63,mea_clay
111.7586111,26.5375,Upland,7.35,0.5337648,NA,NA,0.00315,17.081,15.301,mea_clay
112.0813889,26.40055556,Upland,4.4,0.256279,NA,NA,0.12403,10.8695,13.906,mea_clay
111.8561111,26.65416667,Upland,4.3,0.2027971,NA,NA,0.07357,7.368,13.848,mea_clay
112.0566667,26.48222222,Upland,4,0.1516405,NA,NA,0.09405,11.6975,13.819,mea_clay
111.8919,26.5772,Upland,6.58,0.7949735,NA,NA,0.02058,17.7475,13.758,mea_clay
111.9572222,26.36694444,Upland,6.8,0.5531423,NA,NA,0.01059,13.8865,13.693,mea_clay
111.9683333,26.3675,Upland,7,0.3407649,NA,NA,0.01099,8.64,12.733,mea_clay
111.8644444,26.57666667,Upland,5.45,0.295034,NA,NA,0.0219,12.8445,12.537,mea_clay
111.8875,26.46027778,Upland,7.03,0.4663311,NA,NA,0.00121,15.5395,11.241,mea_clay
111.8333333,26.60444444,Upland,6.94,0.3423151,NA,NA,0.03519,7.2465,10.659,mea_clay
112.1288889,26.41138889,Upland,6.77,0.3322388,NA,NA,0.00521,8.8095,10.615,mea_clay
112.1330556,26.43138889,Upland,4.65,0.3237127,NA,NA,0.1189,10.0935,10.044,mea_clay
111.9819444,26.28055556,Upland,7.13,0.7205639,NA,NA,0.00432,11.064,9.791,mea_clay
111.9933333,26.42055556,Upland,5.7,0.5004355,NA,NA,0.1376,18.0905,9.79,mea_clay
111.9158333,26.65055556,Upland,7.16,0.3198372,NA,NA,0.00575,7.7705,9.538,mea_clay
111.8713889,26.62611111,Upland,5.12,0.2694557,NA,NA,0.06367,8.244,9.194,mea_clay
111.9338889,26.50111111,Upland,4.8,0.2710059,NA,NA,0.09669,5.5745,8.918,mea_clay
111.9102778,26.56972222,Upland,6.43,0.7546683,NA,NA,0.00313,25.7735,8.813,mea_clay
111.8080556,26.57972222,Upland,7.59,0.2322509,NA,NA,0.00271,7.668,8.693,mea_clay
111.8402778,26.75361111,Upland,5.58,0.271781,NA,NA,0.0419,13.0965,8.675,mea_clay
